"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDU58","OUT013",3071.3047629686
"FDY27","OUT017",2944.71282364145
"FDV56","OUT035",1942.68050402971
"FDT59","OUT046",3660.81284997541
"FDB23","OUT046",3611.79741969656
"FDR49","OUT045",703.285732093334
"FDB03","OUT010",1939.38151000936
"FDN39","OUT045",2634.17997564983
"FDX02","OUT027",4975.73520662874
"FDQ16","OUT027",3175.23517543936
"FDU35","OUT018",1323.2515286962
"NCT29","OUT013",1952.84739639038
"FDZ27","OUT046",838.485159816238
"FDN57","OUT017",2354.71090382651
"FDA03","OUT018",2105.68233210376
"FDZ36","OUT045",2928.04281231645
"NCU05","OUT013",1322.10916375954
"FDT39","OUT018",2199.04080850629
"FDK60","OUT017",1691.59297907347
"FDZ25","OUT017",2843.47835875971
"FDG12","OUT046",2003.07253159038
"DRB01","OUT019",1123.8325368057
"NCC43","OUT027",5359.5564333247
"FDX13","OUT019",2020.47667339868
"FDM22","OUT049",1021.56781513278
"FDJ03","OUT027",2313.84035314238
"FDU14","OUT018",3665.352826891
"FDB33","OUT010",678.889952322669
"FDP27","OUT046",3034.27821198701
"FDO38","OUT010",-648.749817146235
"FDE28","OUT027",5123.94373098641
"FDO27","OUT035",1697.81795260794
"DRL23","OUT027",3154.66713809974
"FDS28","OUT046",971.212445373136
"FDX24","OUT013",1528.71821237413
"FDZ02","OUT035",1742.98366454849
"FDL46","OUT045",1806.5957526291
"FDS60","OUT027",4297.5860771974
"NCO06","OUT017",645.995231648771
"FDO16","OUT035",1518.38947575394
"FDC60","OUT049",1529.25497079355
"FDA48","OUT018",3180.60522308745
"FDZ36","OUT027",4445.2346264059
"FDK27","OUT045",1885.38573847433
"FDW23","OUT018",381.579826343253
"FDM14","OUT018",1491.34606688577
"FDM14","OUT013",1770.65136643348
"FDW60","OUT018",2598.07322316415
"FDE21","OUT013",1906.27309961707
"NCM42","OUT035",1876.32346833593
"FDY59","OUT010",-367.851085024476
"DRI49","OUT049",1368.81870617748
"FDT28","OUT019",525.250825310103
"FDQ22","OUT018",405.021751481852
"FDR60","OUT049",1321.43724212912
"FDC50","OUT019",-398.208112645217
"FDV24","OUT013",2448.56944871548
"DRF48","OUT010",1101.24636212215
"FDQ47","OUT046",665.678947882574
"DRN36","OUT049",1644.29001313918
"NCY06","OUT035",2165.12096485435
"FDE52","OUT035",1639.66724027789
"NCB54","OUT045",1940.54689041723
"NCF31","OUT035",2563.16887271791
"FDJ08","OUT027",4461.51401106044
"NCC07","OUT017",1785.60718166024
"NCD19","OUT027",2332.87380675372
"FDL46","OUT049",1991.36884194431
"FDM20","OUT045",3828.57210683165
"NCI06","OUT010",965.184612645707
"DRM11","OUT035",4199.25481195921
"NCH07","OUT018",2223.8258709545
"FDS23","OUT013",2081.99452267761
"FDO49","OUT018",599.74048051526
"FDS35","OUT049",1168.26947152932
"DRK39","OUT045",1271.96500148061
"DRI39","OUT049",1047.69156158927
"FDV04","OUT017",2643.52281477172
"NCN14","OUT035",3016.39154913753
"FDH08","OUT013",3689.65355013403
"FDS20","OUT046",2930.84479293033
"FDV40","OUT049",1329.3393356467
"FDZ48","OUT010",-127.766456706122
"FDS24","OUT027",2896.25432303885
"FDK44","OUT049",2868.723864186
"FDS48","OUT045",2355.6508104857
"FDK26","OUT010",1129.08249201383
"FDD23","OUT045",2976.02681639005
"NCH54","OUT017",2654.69724077046
"NCP14","OUT010",-222.396656157733
"FDM60","OUT010",-1171.97907828039
"FDV24","OUT017",2511.93691323176
"FDH08","OUT018",3345.57788352374
"FDS12","OUT027",3453.37992314876
"FDR39","OUT027",4326.04062086607
"FDP12","OUT027",2117.84595938934
"DRF60","OUT027",5155.34456561923
"FDC09","OUT035",1843.75188976959
"FDF50","OUT018",2858.13931454973
"FDG28","OUT035",4018.75054260464
"NCE19","OUT017",995.235777166936
"NCM53","OUT010",-176.121786288217
"NCN18","OUT049",1836.58032166682
"FDF32","OUT035",3309.23009019886
"FDF11","OUT013",3845.04165665906
"DRI59","OUT049",3631.76952605005
"NCG54","OUT035",2817.76197465958
"FDM44","OUT046",1651.39238205735
"FDT57","OUT018",3448.65458526501
"FDV24","OUT046",2418.34984272392
"FDI50","OUT019",1744.28954715638
"FDS09","OUT035",1031.17210361489
"NCC31","OUT027",3906.80334451779
"FDQ07","OUT019",1598.76390059976
"FDC22","OUT017",3168.34822961203
"FDZ56","OUT046",2726.19738998573
"FDZ40","OUT019",-987.535890884239
"FDS46","OUT027",3374.92201356021
"DRD24","OUT045",2186.81422973278
"FDV45","OUT017",3108.36417953542
"FDL26","OUT045",2427.27312471759
"FDA56","OUT018",1702.59258766268
"FDN27","OUT046",1908.25033531938
"FDM20","OUT049",3964.49585535055
"FDO16","OUT017",1449.73870770287
"FDL03","OUT035",3301.59206878487
"FDE58","OUT046",1876.40368211153
"FDI02","OUT027",3265.45098018609
"NCC55","OUT019",-1249.33823706291
"FDR03","OUT018",3030.54017828472
"FDB14","OUT017",1618.8417031444
"FDR45","OUT013",3827.43820350743
"NCN07","OUT017",2152.36298851611
"FDM51","OUT019",-193.205897430699
"FDT52","OUT027",5340.26225699622
"FDL26","OUT046",2472.50195140145
"NCZ42","OUT046",3758.78837795804
"DRI47","OUT019",438.47896598657
"FDW40","OUT013",2322.01115631433
"FDN34","OUT046",2746.66496857256
"FDS01","OUT035",2989.15109019094
"NCG55","OUT045",1777.74998600323
"FDC11","OUT035",1533.92843792233
"FDX35","OUT018",3332.26865449977
"NCB06","OUT046",2543.55678072811
"FDR09","OUT019",2183.47068780371
"FDC53","OUT017",1668.83183224487
"FDY45","OUT013",4049.09690923286
"FDA22","OUT010",788.892882556881
"FDE02","OUT035",1659.39024737022
"FDW21","OUT045",1606.77305678678
"FDV34","OUT046",1253.90715043042
"FDS59","OUT049",1891.87017007176
"NCW17","OUT017",2122.86986668371
"NCK54","OUT046",1863.65252318737
"FDG17","OUT019",1995.45610863961
"FDG35","OUT017",2906.83531295503
"FDD08","OUT010",-1218.03264260516
"NCO07","OUT017",3423.08822758864
"FDJ10","OUT010",407.07406416284
"FDW36","OUT017",1767.72441669955
"FDW21","OUT010",-210.114469594881
"FDY19","OUT017",1997.8918310647
"DRE03","OUT013",825.622109793137
"NCC55","OUT049",728.663503026594
"FDH52","OUT010",-797.17660788173
"FDO09","OUT017",4281.74733176616
"FDU43","OUT045",3757.69303050709
"FDX09","OUT010",896.137577937938
"FDH40","OUT019",-519.284578159554
"FDW58","OUT017",1785.15132051491
"FDC47","OUT017",3668.36729035277
"NCR41","OUT035",1647.65285348245
"DRG49","OUT035",3974.13359958473
"FDC52","OUT027",3943.22897540174
"FDY13","OUT046",1226.81050500318
"FDY35","OUT013",834.215436841373
"FDI35","OUT017",2995.22067589822
"NCU18","OUT049",2343.3344993842
"FDY33","OUT018",2282.47455588914
"FDC15","OUT027",3950.40757970671
"FDU01","OUT049",3107.15840560234
"NCU42","OUT046",2698.73150735723
"NCV29","OUT018",2535.53781622203
"NCY30","OUT017",2995.25734931772
"FDQ46","OUT049",1876.31795856075
"FDG58","OUT027",3938.27094146225
"FDK33","OUT017",3476.07627078893
"NCD07","OUT045",1765.37947483623
"NCX29","OUT027",3734.4049909337
"NCT42","OUT013",2391.41430589181
"DRN59","OUT035",899.758693248609
"FDI44","OUT035",1424.34415061745
"FDA45","OUT049",2910.44250307812
"FDP31","OUT045",1047.81558531281
"FDY01","OUT046",1860.94043830366
"FDT09","OUT018",1879.32960390476
"DRH03","OUT027",2971.43336644464
"FDA36","OUT018",2699.6129317889
"NCF31","OUT017",2534.56411207407
"FDG14","OUT049",2555.06368773625
"FDG28","OUT027",5349.10327110426
"FDU14","OUT049",4044.96363062598
"FDY47","OUT019",240.948455455033
"FDI56","OUT049",1554.33661607741
"DRD01","OUT013",988.757406882485
"FDM22","OUT046",962.835300770089
"FDH33","OUT013",734.663101745388
"DRZ24","OUT013",1897.12361648792
"NCQ38","OUT046",1682.50991968275
"FDO16","OUT027",2814.78235425359
"FDU07","OUT027",3847.16026969776
"NCB07","OUT013",3091.69446139041
"FDU48","OUT045",2040.41600840922
"NCM43","OUT045",2562.14563490118
"FDR31","OUT010",478.303241917137
"DRK49","OUT018",411.427734472581
"NCI30","OUT010",1940.70900479901
"DRD60","OUT017",2971.08683663928
"NCG19","OUT046",3674.18195083269
"FDH12","OUT035",1817.44222946137
"FDM32","OUT035",1636.99394937083
"FDM27","OUT035",2664.06569378204
"NCU53","OUT027",4074.43179813998
"NCQ18","OUT046",1562.54986296555
"FDS10","OUT013",2884.85590300686
"FDB33","OUT027",3983.61479473852
"FDI12","OUT013",1444.53306344801
"NCW42","OUT013",3499.54040563571
"NCC06","OUT018",1752.64447777246
"FDW02","OUT017",2157.02951661707
"NCD43","OUT017",1759.68029301774
"FDM57","OUT018",1096.5002924269
"FDA58","OUT017",3819.97465330393
"FDK56","OUT046",2947.83874888813
"FDP52","OUT045",3617.26170143226
"FDW20","OUT018",1713.40183585193
"FDS52","OUT049",1716.95456915539
"NCT29","OUT018",1608.72223344147
"NCL54","OUT013",2814.44692295775
"FDC05","OUT045",3114.4622916609
"FDF34","OUT035",3312.02027159406
"FDP03","OUT027",3476.33385980215
"FDD32","OUT010",-487.963204144939
"FDZ10","OUT045",1971.10035712013
"FDZ40","OUT035",1047.70203284763
"FDD51","OUT018",460.969689335588
"NCY30","OUT019",955.413182725324
"FDP58","OUT017",3521.23885761566
"FDV49","OUT017",4260.17279331982
"FDY24","OUT019",-1006.24875001681
"NCO55","OUT017",1787.59865186235
"FDR13","OUT017",2005.84884151254
"FDS51","OUT017",1141.28445843588
"FDP26","OUT045",1610.96532831744
"NCB54","OUT027",3483.08905456841
"FDF32","OUT017",3237.42841590508
"FDN31","OUT018",2733.38677246603
"DRM48","OUT017",696.817235253268
"FDN20","OUT049",2807.55753598508
"DRL01","OUT046",3697.75696172061
"FDV56","OUT049",1869.51479527056
"DRH13","OUT027",3162.48635979734
"FDA03","OUT017",2485.47505895687
"FDF47","OUT027",4967.25428190009
"FDX32","OUT046",2394.88472605521
"FDX57","OUT049",1685.01202029434
"NCA30","OUT045",2930.84928396694
"FDO49","OUT013",911.450346650375
"FDL04","OUT019",-228.750005148884
"DRM48","OUT035",756.334134481379
"FDR16","OUT013",3407.39001067136
"NCC19","OUT018",2750.63295577191
"NCE42","OUT045",3637.73845118847
"FDY24","OUT017",1036.5640763321
"FDH19","OUT049",2905.08308158272
"FDJ46","OUT013",2794.38541107571
"FDN45","OUT010",1630.93163127874
"FDY08","OUT035",2413.09811997591
"FDZ37","OUT035",1585.74012934521
"NCT30","OUT045",712.284659519118
"DRY23","OUT018",445.356673426873
"NCZ30","OUT018",1646.060046121
"FDC44","OUT018",1517.82309560889
"FDB45","OUT035",1836.48517088619
"FDY04","OUT013",2675.52540999642
"FDM27","OUT046",2575.05546133952
"FDZ43","OUT017",3946.03809803406
"FDT39","OUT019",586.393245881028
"NCC06","OUT019",114.020256712982
"FDL15","OUT027",3916.87759000305
"FDL57","OUT017",4183.81993233391
"FDU08","OUT046",1610.68659847459
"FDK40","OUT017",4257.51569170766
"FDQ12","OUT010",1728.94322769664
"FDS48","OUT017",2526.54355079603
"FDP09","OUT045",3292.41727810986
"FDW21","OUT049",1733.44108988507
"FDY25","OUT035",3027.53159859908
"DRE13","OUT017",1472.59075529392
"FDV43","OUT019",-1163.17471310909
"FDD22","OUT045",1716.60125893725
"FDM46","OUT019",-436.644766449948
"NCO30","OUT010",1046.39905965862
"FDM25","OUT046",2824.23945168714
"NCN41","OUT049",2031.87930101048
"FDU24","OUT045",1461.39125509986
"FDZ50","OUT046",2974.25588691692
"FDP45","OUT013",4027.40655895826
"NCM54","OUT045",1928.54009829488
"FDW10","OUT019",893.754497606271
"FDP20","OUT017",2148.89560387525
"FDK32","OUT046",2476.74351450577
"FDN52","OUT049",1531.36788020352
"FDM58","OUT045",1749.24239010835
"FDZ46","OUT027",3215.93889083672
"NCA18","OUT018",1568.98763387453
"FDD35","OUT046",1956.81179338189
"NCK31","OUT035",957.82208313571
"FDI40","OUT027",3082.9764525513
"FDT50","OUT019",-292.702241236615
"NCT06","OUT046",2620.90766284167
"FDT31","OUT035",3148.18356048653
"FDT45","OUT049",980.964478566617
"FDT13","OUT045",2922.55378466188
"FDO50","OUT045",1400.88305526926
"NCU18","OUT010",351.35548025341
"NCR54","OUT049",3163.23204793589
"NCO18","OUT018",2544.37516421408
"FDU09","OUT045",911.491632676791
"FDT13","OUT018",2709.40037401345
"FDE09","OUT046",1820.45383848371
"NCK53","OUT019",-285.30476633285
"FDG45","OUT049",3460.71510275848
"DRH15","OUT035",887.625038335181
"FDO21","OUT019",1694.11399635606
"FDD14","OUT027",4352.68802105196
"FDC09","OUT046",1710.70818072352
"FDH45","OUT027",2220.52768519422
"FDV32","OUT046",1083.42731910957
"FDG12","OUT035",2089.85414989408
"FDS32","OUT013",2334.20720998876
"NCL55","OUT018",3648.4044789343
"DRE01","OUT035",3934.77596823299
"DRE15","OUT049",1348.4885959217
"NCL42","OUT045",3808.55238679373
"FDP31","OUT013",1110.97015776698
"FDN33","OUT018",1249.1291508665
"FDZ59","OUT046",2666.26425083642
"FDE45","OUT010",966.448140719603
"FDJ07","OUT013",1938.54257219309
"FDQ45","OUT018",2701.63888516814
"FDM33","OUT027",4896.96921931877
"FDO15","OUT010",-591.806819558083
"FDM46","OUT013",1496.72435934665
"FDR03","OUT045",3248.31513003789
"FDY49","OUT018",2423.16326972684
"FDQ60","OUT045",1860.99588900004
"FDW10","OUT049",2896.80095791621
"FDO51","OUT049",902.247422516048
"FDJ40","OUT018",1500.15839774641
"FDS20","OUT018",2630.81981599741
"FDU45","OUT013",1868.40850952303
"FDV02","OUT035",2852.40704046238
"FDN09","OUT046",3826.11941476885
"NCM55","OUT027",4391.26113627017
"FDN23","OUT018",2084.13328027251
"FDY31","OUT010",453.958705755362
"FDW03","OUT010",-122.534050941377
"FDD14","OUT046",2901.51563504095
"FDV23","OUT017",2101.84919355895
"DRI03","OUT045",2740.75513466282
"FDN13","OUT035",1726.65466596524
"FDF45","OUT027",2495.70518888576
"FDU46","OUT035",1600.59522807076
"FDB57","OUT049",3657.61229345411
"FDV12","OUT049",1729.72008412041
"FDQ58","OUT013",2457.65353891772
"NCA18","OUT017",1930.27230766541
"FDH52","OUT049",1148.02421625375
"FDM24","OUT018",2156.96164067317
"NCP43","OUT027",4314.08852733802
"NCO18","OUT019",907.673576615425
"FDM32","OUT017",1588.38245881914
"NCL07","OUT017",738.309794404802
"FDK03","OUT013",4056.00386400042
"FDP59","OUT017",1788.80432444316
"FDQ24","OUT049",4033.40984657411
"FDQ16","OUT018",1476.59689640887
"FDU44","OUT013",2643.43997705566
"FDH28","OUT010",-1205.17127382449
"FDV28","OUT019",-1273.46581616481
"FDM22","OUT045",879.47556727691
"FDR56","OUT046",3159.51634808875
"FDV39","OUT049",3240.52854610243
"FDU37","OUT019",-568.896752208048
"FDQ11","OUT010",2198.62485859882
"FDX02","OUT045",3474.81800165046
"NCS42","OUT018",1187.7053432796
"FDY57","OUT027",2993.50558893173
"FDB21","OUT049",3892.68776328247
"FDE28","OUT017",3743.22869606623
"FDQ55","OUT017",1968.59277243547
"FDA48","OUT049",3591.41189678169
"FDZ19","OUT045",2720.33717998135
"NCC43","OUT045",3880.17807015261
"NCV18","OUT046",1302.85679190077
"NCA42","OUT018",2247.28483941322
"FDY45","OUT046",4044.80255135453
"NCC30","OUT045",2771.75529835024
"FDM57","OUT013",1442.17926594775
"FDL09","OUT010",785.313167625215
"FDB09","OUT027",3445.14439166187
"FDT44","OUT035",2037.70443999993
"NCT06","OUT027",4051.91121595666
"FDX26","OUT049",3014.12014100376
"FDK32","OUT013",2528.54255922635
"DRA12","OUT046",2288.32910136892
"FDO46","OUT010",1150.71003198521
"FDE52","OUT013",1482.85896762662
"NCH42","OUT045",3550.14862793692
"FDV08","OUT035",875.007698368718
"FDB47","OUT018",3042.67397175479
"FDC28","OUT010",-120.809097851754
"FDD22","OUT046",1815.81216470706
"FDS07","OUT027",3288.68481215593
"DRI13","OUT045",3354.66558725336
"FDG32","OUT018",3221.75048195991
"FDU14","OUT017",4052.54530430856
"FDD28","OUT019",-917.550690797284
"NCP41","OUT017",1840.79682632267
"FDS08","OUT049",2892.99307762809
"FDX47","OUT045",2511.25408371822
"FDC53","OUT019",-263.305867684525
"FDQ19","OUT035",3995.09010737507
"FDL14","OUT045",2460.19781545332
"FDM33","OUT019",1582.87040836154
"FDA51","OUT045",1774.91435162721
"FDZ27","OUT018",558.539361998404
"FDT04","OUT046",701.963705566907
"DRC13","OUT049",2108.42930260349
"FDR16","OUT027",4862.21058156765
"FDQ03","OUT027",5210.59088586651
"FDE38","OUT035",2819.83962282075
"DRH23","OUT027",2355.31303018997
"FDT11","OUT019",1149.51418255172
"FDD09","OUT035",3019.8147590412
"FDR40","OUT045",1315.30034771609
"FDX07","OUT017",3074.80409158644
"FDR07","OUT035",1706.38302384687
"FDA51","OUT017",1950.71074896359
"FDT59","OUT019",1761.03272952841
"FDF20","OUT017",3213.38054221138
"FDR13","OUT045",1817.61982040016
"FDY26","OUT049",3467.53355500793
"FDW04","OUT017",2202.55266061099
"FDK52","OUT017",3671.2585254275
"FDN60","OUT049",2597.97755984457
"FDM09","OUT019",857.174599729279
"FDP46","OUT049",1508.32565213368
"FDB50","OUT019",-642.98568465791
"NCQ29","OUT049",4131.1869212748
"FDP16","OUT027",5311.59948789992
"FDX33","OUT018",2318.7522280105
"FDP07","OUT010",1227.59299440115
"FDN22","OUT046",3978.56889526049
"FDF39","OUT049",4263.85128326098
"FDS21","OUT017",1150.46026000437
"NCM42","OUT013",1730.30926129007
"FDK50","OUT019",727.020411873454
"DRF13","OUT027",3791.68580429967
"FDH35","OUT018",2336.53796476813
"FDP60","OUT018",1317.83465409787
"DRJ49","OUT027",3510.73857584372
"NCT42","OUT019",473.813947460001
"FDE38","OUT049",2771.33462029835
"FDI04","OUT049",3280.121508356
"NCH54","OUT045",2438.74528538731
"FDT56","OUT049",1106.96804756418
"DRD15","OUT018",3375.80404958744
"FDV58","OUT013",3093.94130671977
"FDP21","OUT049",3112.47038279542
"FDH05","OUT013",3726.15167491257
"FDR10","OUT027",4037.2994628012
"NCP06","OUT045",2315.7818723784
"FDF33","OUT049",1817.68784577683
"DRK37","OUT013",3009.86438352101
"DRH49","OUT045",1293.70536890797
"FDT58","OUT013",2694.00883756427
"FDD41","OUT018",1423.09036089282
"FDP40","OUT018",1527.69815937656
"FDM51","OUT027",3133.05894363766
"FDO45","OUT010",-449.201633212462
"FDW33","OUT010",-197.769000028999
"FDY24","OUT045",862.860973485065
"FDB10","OUT010",1847.89636077048
"FDM40","OUT035",2393.3436792155
"NCI06","OUT017",2958.98973128128
"FDW12","OUT019",454.324707069039
"FDX48","OUT027",3965.46987263493
"NCW05","OUT027",3120.89077151438
"FDX27","OUT017",1666.49303528645
"DRM37","OUT045",3061.50975599644
"FDA38","OUT045",3759.70413675929
"FDR36","OUT046",717.498803745925
"FDZ45","OUT046",3160.26454165902
"FDG05","OUT017",2663.29010145562
"FDK28","OUT013",4091.30768984979
"FDV47","OUT045",1336.63043280643
"FDN21","OUT045",2499.35727632682
"FDP20","OUT027",3484.7112081135
"FDI35","OUT045",2834.75835769199
"DRY23","OUT013",775.647215991605
"FDA56","OUT017",2077.7720780549
"FDB09","OUT013",2002.69841821391
"NCO26","OUT027",3293.95491450826
"FDQ49","OUT018",2275.98008849111
"FDI52","OUT027",3386.95309110559
"FDZ44","OUT027",3336.35749763847
"FDZ09","OUT018",2333.54767082309
"FDY03","OUT049",1945.85799050022
"NCG42","OUT017",2149.20936639297
"DRI13","OUT027",4878.65864206591
"FDQ32","OUT013",2080.29447977223
"FDW16","OUT035",1648.0542765801
"FDU27","OUT046",826.167058862461
"FDR28","OUT010",759.750625973724
"FDQ49","OUT010",693.993487826122
"FDS37","OUT046",1867.61261166536
"FDW26","OUT018",3235.04924879483
"FDX12","OUT018",3560.18090185832
"NCP06","OUT013",2425.12989045816
"FDW45","OUT010",446.137710252747
"NCN30","OUT049",1602.96686493099
"FDN24","OUT049",968.878798811463
"NCL41","OUT027",2003.49890474008
"FDR02","OUT019",-117.995695108025
"FDD09","OUT010",1013.5261229369
"FDS33","OUT010",-458.514646249967
"FDU22","OUT045",1839.13336077985
"FDI53","OUT013",2644.34187024571
"DRH01","OUT049",2868.61634855831
"FDX32","OUT013",2361.88009641046
"NCP30","OUT018",386.470759217367
"FDB60","OUT045",3055.85349002893
"FDB14","OUT049",1625.19555472043
"NCP02","OUT035",1086.26547496878
"FDJ10","OUT017",2375.6623167565
"FDG34","OUT046",1817.58107480908
"NCB18","OUT017",1500.31030027322
"FDM16","OUT049",1344.66660216299
"FDW25","OUT018",1084.83824327917
"FDB35","OUT010",-383.342925682119
"DRN11","OUT013",2288.43540506881
"FDF41","OUT019",1985.29314242967
"FDH16","OUT045",1363.38347068809
"NCQ50","OUT018",3058.70437181856
"DRH23","OUT018",630.239968971066
"DRJ37","OUT013",2443.38458969654
"DRJ24","OUT027",4357.14402297897
"FDY16","OUT035",3088.28307408605
"FDQ27","OUT045",1676.32674160535
"FDZ33","OUT045",2309.050453869
"FDF29","OUT045",2073.78743177133
"FDA08","OUT049",2748.9222053203
"FDG31","OUT046",1096.27331371802
"FDE34","OUT019",1021.57763407544
"NCR30","OUT027",2623.21136563764
"FDV33","OUT035",4242.91076780556
"DRZ24","OUT018",1615.92061838667
"NCL54","OUT035",2878.72559032956
"FDR12","OUT049",2892.01381383109
"NCC54","OUT046",3785.77858075545
"DRN59","OUT013",789.417811655756
"FDX50","OUT019",-125.000335165535
"FDV31","OUT027",4287.36049340979
"NCA29","OUT027",4185.97619134293
"FDW60","OUT049",2956.39966485031
"FDX08","OUT017",3020.81976279734
"DRD49","OUT013",3713.16395790463
"FDD33","OUT046",3651.21964959798
"FDW35","OUT013",770.016456124249
"FDJ36","OUT017",1772.61403316421
"FDV51","OUT035",2812.000820676
"FDW36","OUT046",1712.63579145274
"FDH35","OUT046",2644.27859110059
"NCS30","OUT027",3500.446662788
"FDN49","OUT017",792.076725281327
"FDL08","OUT018",3603.67490035708
"FDI09","OUT013",3841.49615746757
"FDP19","OUT018",1766.11434139403
"FDU21","OUT010",-1280.15865177654
"NCP41","OUT045",1651.01560406751
"FDY10","OUT013",1830.26077344849
"FDP12","OUT018",388.360095643771
"NCN26","OUT049",1932.4414043716
"FDK44","OUT013",2805.17883153569
"FDC28","OUT049",1840.21273085768
"FDJ41","OUT027",5591.01165478991
"NCT29","OUT035",2086.52035167176
"NCH42","OUT019",1692.20423995161
"FDU60","OUT018",2423.01451691562
"FDS02","OUT045",3037.05219978507
"FDC51","OUT046",2028.19109666815
"FDU03","OUT013",2975.07588128372
"FDX39","OUT045",3332.44322677332
"NCY05","OUT010",-1275.09691170801
"NCL06","OUT027",5508.23955357774
"FDD32","OUT035",1489.86849997228
"NCN41","OUT045",1875.90764714984
"NCX53","OUT049",2353.60934376084
"FDU57","OUT019",531.932790216788
"FDQ23","OUT046",1693.49831993856
"FDQ52","OUT045",3843.62197672381
"FDC14","OUT045",668.088648033706
"FDY09","OUT035",2963.33817328238
"FDQ28","OUT045",2478.04770103795
"FDV25","OUT046",3496.20840132299
"FDJ07","OUT035",2016.7089733342
"DRB25","OUT049",1774.47024639171
"FDK52","OUT019",1651.08238054981
"FDY52","OUT027",2499.99466583146
"FDB28","OUT046",3150.65834640757
"FDT36","OUT035",754.011640934687
"FDV25","OUT017",3605.28197476277
"NCN07","OUT027",3505.11440131921
"FDC57","OUT017",3218.54782368358
"FDQ03","OUT018",3491.83866592668
"FDU23","OUT017",2784.88355360665
"NCX41","OUT035",3484.78512619789
"NCD06","OUT035",899.339511618597
"FDW08","OUT045",1639.95670115971
"NCU29","OUT017",2412.14186882543
"NCE06","OUT013",2571.76356104205
"FDV52","OUT010",8.56488757931639
"FDB02","OUT017",2956.58771196011
"NCR18","OUT045",656.854392519756
"FDK16","OUT049",1600.94279725887
"NCQ29","OUT010",2140.69745611923
"FDZ01","OUT019",-178.538413766846
"FDW27","OUT035",2680.05491663846
"FDD17","OUT018",3471.22869805832
"FDW39","OUT013",2894.6883551432
"DRH59","OUT045",1106.56673636319
"FDS52","OUT013",1671.85623430425
"FDU40","OUT027",4550.62688293643
"NCF54","OUT013",2776.52117435014
"FDH46","OUT045",1629.48223727033
"NCP14","OUT049",1722.5613995787
"FDH50","OUT049",3058.78976971236
